CPUID:,0x906ED
Processor:,Intel Core i7 9700K (Coffee Lake)
Platform:,LGA 1151 (Socket H4)
Revision:,R0
Lithography:,14nm

Session start:,22:14:57 - November 02 - 2020

Time,Core 0 Temp. (�),Core 1 Temp. (�),Core 2 Temp. (�),Core 3 Temp. (�),Core 4 Temp. (�),Core 5 Temp. (�),Core 6 Temp. (�),Core 7 Temp. (�),,Core 0,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 1,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 2,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 3,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 4,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 5,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 6,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),Core 7,Low temp. (�),High temp. (�),Core load (%),Core speed (MHz),CPU 0 Power,
22:21:37 11/02/20,31,31,31,30,31,30,30,29,,,30,56,11,2296.07,,30,57,8,2296.07,,31,62,10,2296.07,,29,56,7,2296.07,,30,53,2,2296.07,,29,55,5,2296.07,,29,56,7,2296.07,,29,58,7,2296.07,10.6,
22:21:47 11/02/20,31,31,31,29,31,29,30,29,,,30,56,6,3094.70,,30,57,20,3094.70,,31,62,12,3094.70,,29,56,5,3094.70,,30,53,15,3094.70,,29,55,1,3094.70,,29,56,5,3094.70,,29,58,6,3094.70,4.7,
22:21:57 11/02/20,33,33,35,32,34,33,34,32,,,30,56,7,4592.13,,30,57,8,4592.13,,30,62,10,4592.13,,29,56,4,4592.13,,30,53,14,4592.13,,29,55,2,4592.13,,29,56,5,4592.13,,29,58,10,4592.13,6.1,
22:22:07 11/02/20,30,30,30,29,31,29,29,30,,,30,56,8,2196.24,,30,57,3,2196.24,,30,62,6,2196.24,,29,56,0,2196.24,,30,53,6,2196.24,,28,55,3,2196.24,,29,56,1,2196.24,,28,58,3,2196.24,4.0,
22:22:17 11/02/20,32,31,31,30,31,29,30,29,,,30,56,9,4492.31,,30,57,22,4592.13,,30,62,6,4592.13,,29,56,5,4592.13,,30,53,9,4592.13,,28,55,5,4592.13,,29,56,11,4592.13,,28,58,19,4592.13,9.0,
22:22:27 11/02/20,32,31,31,30,31,29,30,29,,,30,56,9,2196.24,,30,57,15,2196.24,,30,62,8,2196.24,,29,56,4,2196.24,,30,53,8,2196.24,,28,55,6,2196.24,,29,56,6,2196.24,,28,58,8,2196.24,15.6,
22:22:37 11/02/20,35,35,34,32,33,32,32,32,,,30,56,14,4592.13,,30,57,22,4592.13,,30,62,17,4592.13,,29,56,15,4592.13,,30,53,6,4592.13,,28,55,11,4592.13,,29,56,8,4592.13,,28,58,5,4592.13,13.7,
22:22:47 11/02/20,32,31,31,30,31,29,30,29,,,30,56,11,3394.19,,30,57,22,3394.19,,30,62,6,3394.19,,29,56,1,3394.19,,30,53,1,3394.19,,28,55,4,3394.19,,29,56,1,3394.19,,28,58,8,3394.19,10.3,
22:22:57 11/02/20,38,32,32,31,32,29,31,30,,,30,56,8,4592.13,,30,57,19,4592.13,,30,62,20,4592.13,,29,56,3,4592.13,,30,53,5,4592.13,,28,55,3,4592.13,,29,56,5,4592.13,,28,58,8,4592.13,11.5,
22:23:07 11/02/20,31,31,31,30,31,29,31,29,,,30,56,5,3993.16,,30,57,9,3993.16,,30,62,8,3993.16,,29,56,5,3993.16,,30,53,6,3993.16,,28,55,0,3993.16,,29,56,3,3693.67,,28,58,5,3693.67,4.5,
22:23:17 11/02/20,31,31,31,30,30,29,30,29,,,30,56,7,1597.26,,30,57,28,1597.26,,30,62,16,1597.26,,29,56,14,1597.26,,30,53,2,1597.26,,28,55,0,1597.26,,29,56,0,1597.26,,28,58,7,1597.26,7.6,
22:23:27 11/02/20,33,33,32,31,32,30,31,31,,,30,56,12,4592.13,,30,57,12,4592.13,,30,62,11,4592.13,,28,56,8,4592.13,,30,53,3,4592.13,,28,55,6,4592.13,,29,56,5,4592.13,,28,58,6,4592.13,13.4,
22:23:37 11/02/20,33,33,32,31,31,30,31,30,,,30,56,9,4592.13,,30,57,8,4592.13,,30,62,8,4592.13,,28,56,1,4592.13,,30,53,3,4592.13,,28,55,3,4592.13,,29,56,8,4592.13,,28,58,8,4592.13,6.6,
22:23:47 11/02/20,55,53,57,54,57,54,53,52,,,30,56,75,4492.31,,30,57,78,4492.31,,30,62,75,4492.31,,28,56,78,4492.31,,30,57,75,4492.31,,28,55,81,4492.31,,29,56,81,4492.31,,28,58,78,4492.31,89.5,
22:23:57 11/02/20,31,31,31,29,31,29,31,29,,,30,56,12,798.63,,30,57,11,798.63,,30,62,18,798.63,,28,56,8,798.63,,30,57,12,798.63,,28,55,1,798.63,,29,56,3,798.63,,28,58,15,798.63,15.9,
22:24:07 11/02/20,33,32,33,32,33,31,32,32,,,30,56,9,3993.16,,30,57,11,3993.16,,30,62,7,3993.16,,28,56,6,3993.16,,30,57,3,3993.16,,28,55,0,3993.16,,29,56,1,3993.16,,28,58,6,3993.16,10.0,
22:24:17 11/02/20,33,34,33,31,32,31,32,33,,,30,56,20,4592.13,,30,57,33,4592.13,,30,62,20,4592.13,,28,56,15,4592.13,,30,57,9,4592.13,,28,55,6,4592.13,,29,56,14,4592.13,,28,58,9,4592.13,27.9,
22:24:27 11/02/20,32,32,32,30,31,30,31,31,,,30,56,15,3693.67,,30,57,10,3693.67,,30,62,10,3693.67,,28,56,7,3693.67,,30,57,6,3693.67,,28,55,9,3693.67,,29,56,6,3693.67,,28,58,12,3693.67,12.2,
22:24:37 11/02/20,42,52,48,40,41,40,40,47,,,30,56,27,4492.31,,30,57,63,4492.31,,30,62,38,4492.31,,28,56,36,4492.31,,30,57,40,4592.13,,28,55,36,4592.13,,29,56,33,4592.13,,28,58,41,4592.13,65.4,
22:24:47 11/02/20,42,48,44,41,45,40,40,41,,,30,56,34,4492.31,,30,57,59,4592.13,,30,62,48,4492.31,,28,56,38,4592.13,,30,57,37,4592.13,,28,55,34,4592.13,,29,56,30,4592.13,,28,58,26,4592.13,70.1,
22:24:57 11/02/20,36,36,36,34,34,33,34,34,,,30,56,3,4592.13,,30,57,11,4592.13,,30,62,16,4592.13,,28,56,8,4492.31,,30,57,3,4592.13,,28,55,5,4592.13,,29,56,6,4592.13,,28,58,9,4492.31,15.9,
22:25:07 11/02/20,31,30,31,30,32,29,31,30,,,30,56,9,2495.73,,30,57,12,2495.73,,30,62,14,2495.73,,28,56,0,2495.73,,30,57,1,2495.73,,28,55,1,2495.73,,29,56,3,2495.73,,28,58,11,2495.73,8.0,
22:25:17 11/02/20,31,31,30,29,30,29,30,29,,,30,56,6,1397.61,,30,57,4,1397.61,,30,62,11,1397.61,,28,56,3,1397.61,,30,57,6,1397.61,,28,55,1,1397.61,,29,56,1,1397.61,,28,58,9,1397.61,5.5,
22:25:27 11/02/20,32,31,31,29,31,29,31,29,,,30,56,9,1297.78,,30,57,9,1297.78,,30,62,9,1297.78,,28,56,5,1297.78,,30,57,6,1297.78,,28,55,8,1297.78,,29,56,6,1297.78,,28,58,15,1297.78,12.2,
